Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Gender_female,Gender_male,BalanceToSalaryRatio,TenureProductRatio,IsHighBalance
0.8133333333333334,0.2,0.04764551810760769,0.4,0,0,0.45160692322667995,1,False,True,0.30905121447304257,1.1111108333334028e-07,0
0.44,0.4,0.3688144742128877,0.4,0,1,0.38683443037326304,0,True,False,0.5137862225584321,2.2222216666668056e-07,1
0.6933333333333334,0.30000000000000004,0.05314843251248206,0.1,0,1,0.747897192848995,1,True,False,0.31001472964486787,6.666660000006667e-07,0
0.6266666666666667,0.05,0.04764551810760769,0.2,1,1,0.9833653238006876,0,False,True,0.30905121447304257,5.5555527777791666e-08,0
0.92,0.15000000000000002,0.41503982236226195,0.4,0,0,0.9093535451193645,0,False,True,0.3576243904794337,8.33333125000052e-08,0
0.41333333333333333,0.35000000000000003,0.04764551810760769,0.4,1,1,0.6007799264602749,1,False,True,0.30905121447304257,1.9444439583334547e-07,0
0.32,0.2,0.28093736648832474,0.30000000000000004,1,0,0.8919614921877298,1,False,True,0.34073046799935325,1.4814809876544856e-07,0
0.52,0.2,0.22519644604457156,0.2,1,1,0.4853714892604669,0,False,True,0.37482904953179996,2.2222211111116666e-07,0
0.68,0.1,0.7873490000373063,0.2,1,1,0.7389537846627035,0,True,False,0.44093671455785494,1.1111105555558333e-07,1
0.4,0.35000000000000003,0.5462369021875153,0.4,0,1,0.8361187516294529,0,False,True,0.38320792594692693,1.9444439583334547e-07,0
0.6133333333333334,0.5,0.9676128637753174,0.4,0,0,0.5428119690834625,1,True,False,0.5829909304798208,2.7777770833335065e-07,1
0.6266666666666667,0.35000000000000003,0.04764551810760769,0.4,1,1,0.35930690499881646,1,False,True,0.30905121447304257,1.9444439583334547e-07,0
0.4,0.15000000000000002,0.04764551810760769,0.1,1,0,0.7735337524608116,0,False,True,0.30905121447304257,3.3333300000033337e-07,0
0.41333333333333333,0.4,0.04764551810760769,0.4,0,0,0.785085485878608,1,False,True,0.30905121447304257,2.2222216666668056e-07,0
0.0,0.4,0.04764551810760769,0.1,0,0,0.9820365005463357,1,False,True,0.30905121447304257,8.888880000008889e-07,0
0.36,0.5,0.2761581875035049,0.30000000000000004,0,0,0.8122813181606545,1,False,True,0.34447959725476995,3.703702469136214e-07,0
0.4666666666666667,0.15000000000000002,0.04764551810760769,0.1,1,0,0.680864675020804,0,True,False,0.30905121447304257,3.3333300000033337e-07,0
0.6,0.35000000000000003,0.04764551810760769,0.1,1,0,0.4002096004216219,1,False,True,0.30905121447304257,7.777770000007778e-07,0
